STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
111;1791.679931640625;0.2353329360485077;2176.656982421875;11529.009765625;3601.456787109375;2606.658203125;21106.044921875;36741.94140625;79553.6875
112;1986.990966796875;0.0;2088.7841796875;11686.8740234375;3215.574951171875;2429.95166015625;21664.943359375;37257.3984375;80330.421875
113;1935.78515625;0.4706658720970154;1989.208984375;11305.4052734375;3660.179443359375;2382.147705078125;20312.220703125;36659.12890625;78244.671875
114;1831.05615234375;0.4706658720970154;2002.200439453125;11455.4970703125;3482.80517578125;2650.301513671875;20485.375;36914.7421875;78822.4296875
115;1656.84130859375;0.0;1817.8804931640625;11526.787109375;3382.024169921875;2374.902587890625;20473.5078125;36946.63671875;78178.734375
116;1695.3714599609375;0.0;1823.4488525390625;11643.080078125;3668.278076171875;2452.07666015625;20873.642578125;37060.53515625;79216.328125
117;1669.1907958984375;0.0;2212.756591796875;11681.306640625;3479.926513671875;2385.090576171875;20362.376953125;36237.96875;78028.4296875
118;1909.515380859375;0.9413317441940308;2119.425537109375;12061.892578125;3652.958984375;2378.001220703125;20245.392578125;37209.86328125;79578.1171875
119;1862.445556640625;0.0;2103.625244140625;12382.599609375;3613.339111328125;2285.935546875;20164.20703125;36692.09765625;79104.1875
120;1902.5609130859375;0.0;2298.25;11697.6875;3530.0048828125;2360.74267578125;20257.099609375;36177.28125;78223.5859375
121;1955.731689453125;0.0;2196.029052734375;12460.62109375;3531.51806640625;2397.0361328125;20573.47265625;36754.80859375;79869.265625
122;1828.068603515625;0.0;2130.627685546875;12001.166015625;3541.6787109375;2624.88037109375;20513.810546875;37011.53125;79651.8125
123;1833.291015625;0.0;1980.87255859375;11860.9052734375;3443.8583984375;2578.17529296875;20888.26953125;37074.60546875;79660.125
124;2033.395263671875;0.0;2195.1806640625;11777.9560546875;3301.986572265625;2542.926513671875;20808.50390625;36240.97265625;78901.0078125
125;2006.4443359375;0.0;2183.540283203125;11938.2734375;3587.687744140625;2522.22216796875;20286.1875;36406.01953125;78930.421875
126;1823.0535888671875;0.0;1959.19189453125;12404.74609375;3407.15869140625;2528.19482421875;20349.443359375;35497.65625;77969.34375
127;1924.228759765625;0.0;2045.658447265625;12351.587890625;3336.366455078125;2356.552978515625;20281.837890625;35736.33984375;78032.4453125
128;1873.987548828125;0.0;1965.2734375;11610.3154296875;3537.40234375;2519.008056640625;21056.603515625;35631.6171875;78194.1640625
129;1891.7708740234375;0.0;1984.084716796875;12522.287109375;3446.769287109375;2283.178955078125;20815.103515625;35964.19140625;78907.25
130;1982.681396484375;0.0;2044.0111083984375;12580.23828125;3472.29736328125;2256.048583984375;20679.951171875;35660.9453125;78676.2109375
131;2040.3277587890625;0.0;2093.89111328125;12583.2373046875;3842.450439453125;2481.349609375;20941.494140625;35737.8828125;79720.8671875
132;2035.4981689453125;0.4706658720970154;2066.074462890625;12180.48828125;3691.10888671875;2397.13720703125;21045.634765625;35739.3046875;79155.7109375
133;1881.8974609375;0.0;2059.47216796875;12893.177734375;3495.542236328125;2326.113037109375;21222.466796875;35566.48828125;79445.1640625
134;1937.904296875;0.0;2050.75048828125;12782.142578125;3666.639404296875;2249.83837890625;20948.22265625;35793.5859375;79429.0859375
135;1988.6241455078125;0.0;2012.2877197265625;12827.25;3973.94091796875;2516.43994140625;20560.267578125;35929.34375;79808.1484375
136;1916.444091796875;0.0;1936.7349853515625;12165.0;3631.019287109375;2343.884765625;21001.607421875;35001.5078125;77996.0078125
137;1934.0833740234375;0.0;1983.7236328125;12128.822265625;3883.82763671875;2351.145751953125;20810.802734375;35952.34375;79044.5
138;1952.789306640625;0.0;1937.7550048828125;11851.8857421875;3819.074951171875;2502.006103515625;20932.9296875;35372.01953125;78368.5390625
139;1756.51123046875;0.0;1993.579833984375;11757.5966796875;3626.536865234375;2320.752685546875;21295.66015625;35512.94140625;78263.71875
140;1801.177001953125;0.0;1967.7513427734375;12092.029296875;3672.959716796875;2562.44677734375;21677.4296875;35602.3359375;79376.3125
141;1857.138427734375;0.0;2023.5308837890625;12274.0517578125;3778.410888671875;2442.232666015625;20803.140625;36063.2109375;79241.9296875
142;2101.976318359375;0.0;1832.5355224609375;12311.6884765625;3635.556884765625;2537.762451171875;21481.521484375;36159.6875;80060.5
143;1696.25390625;0.0;1954.03369140625;11820.8828125;3645.7724609375;2366.75537109375;19949.537109375;36267.51953125;77700.78125
144;1611.7926025390625;0.0;1811.4404296875;11659.072265625;3403.01416015625;2474.526123046875;20013.064453125;36109.921875;77082.5
145;1526.216064453125;0.0;2005.409423828125;11538.2958984375;3334.638427734375;2461.182373046875;20437.21484375;35787.44921875;77090.0625
146;1560.0535888671875;0.2353329360485077;2081.272705078125;11659.99609375;3275.419677734375;2531.01513671875;20450.490234375;35359.109375;76917.6328125
147;1578.13134765625;0.0;1897.5670166015625;11109.341796875;3408.419189453125;2393.474853515625;21087.7890625;35365.48828125;76840.296875
148;1690.3548583984375;0.7059987783432007;1802.468017578125;11990.015625;3406.135986328125;2345.156494140625;20655.314453125;35589.6328125;77479.7890625
149;1759.74365234375;0.9413317441940308;1817.6171875;12059.7412109375;2980.191162109375;2186.280517578125;20991.791015625;35330.71875;77126.984375
150;1799.063720703125;0.7059987783432007;2118.24609375;12888.908203125;3296.893798828125;2372.5791015625;21083.58203125;35232.1953125;78791.8828125
151;1845.59375;0.0;2106.885986328125;12643.419921875;3648.039306640625;2494.718017578125;20276.69140625;35240.265625;78255.609375
152;2002.5985107421875;0.0;2026.1895751953125;12289.6494140625;3412.31298828125;2330.7470703125;21095.734375;35677.78515625;78834.9453125
153;2063.20361328125;0.0;1843.1571044921875;12239.81640625;3450.889892578125;2206.122314453125;20925.517578125;36041.3203125;78769.8046875
154;1896.1864013671875;1.1766647100448608;1919.6314697265625;12075.2890625;3677.3408203125;2322.85888671875;21774.0625;35204.85546875;78871.703125
155;2032.0379638671875;0.0;2238.368896484375;12218.611328125;3574.62890625;2434.178466796875;21111.16015625;35284.44921875;78893.625
156;2021.0576171875;0.0;2120.789794921875;11935.513671875;3511.79833984375;2312.1552734375;21344.75;35745.203125;78991.15625
157;2091.400146484375;0.0;2131.376953125;12260.412109375;3646.70361328125;2272.170654296875;22163.283203125;36448.50390625;81013.9140625
158;2098.716552734375;0.0;2402.53515625;12595.7998046875;3868.864501953125;2161.555908203125;21476.38671875;35944.98828125;80548.8046875
159;2109.692138671875;0.0;2099.403076171875;12678.908203125;3519.64697265625;2227.8427734375;21167.416015625;36209.0078125;80012.09375
160;2074.33642578125;0.0;1974.548095703125;12904.951171875;3901.205322265625;2224.5771484375;21355.607421875;36264.6015625;80700.1015625
161;1985.567626953125;0.0;1982.1435546875;12361.76171875;3590.275634765625;2130.365478515625;21399.3359375;36346.4609375;79795.5546875
162;1767.0137939453125;0.0;2055.2529296875;12333.244140625;3740.6904296875;2392.770263671875;21460.404296875;35856.2109375;79605.546875
163;1746.5404052734375;0.0;2077.916015625;12308.0263671875;3516.395263671875;2214.38720703125;21607.064453125;36310.41015625;79780.8359375
164;1986.1494140625;0.0;1928.5789794921875;12537.67578125;3642.990966796875;2322.085205078125;21224.576171875;35552.7109375;79194.75
165;1860.92919921875;0.0;2105.536865234375;12149.8125;3681.359375;2152.545166015625;20417.63671875;36175.9375;78544.0234375
166;1858.3660888671875;0.0;2163.395263671875;12348.330078125;3586.576171875;2273.553466796875;20864.255859375;35645.48828125;78739.9609375
167;1964.063232421875;0.4706658720970154;2304.098388671875;12195.8544921875;3577.0263671875;2153.818359375;20818.755859375;35289.859375;78303.7890625
168;2047.651123046875;0.0;2115.039306640625;12465.9580078125;3710.193359375;2206.685302734375;20651.8125;35875.27734375;79072.453125
169;2007.103271484375;0.0;2241.03662109375;12415.41796875;3673.09130859375;2172.3251953125;21186.166015625;35047.3046875;78742.25
170;2231.157470703125;0.0;2255.34521484375;12474.2275390625;3807.7392578125;2198.71923828125;20826.80078125;35366.28515625;79160.0390625
171;2211.8671875;0.0;2162.917236328125;12302.8056640625;3670.437744140625;2228.357666015625;20661.435546875;34994.203125;78232.0546875
172;2095.38232421875;0.0;2188.19775390625;12965.0966796875;3657.7724609375;2264.783935546875;21055.923828125;34671.54296875;78898.8515625
173;2207.3193359375;0.0;2018.8720703125;12774.1943359375;3647.611328125;2403.112060546875;20623.423828125;34693.25390625;78367.5703125
174;1942.0089111328125;0.0;1922.778564453125;12678.0341796875;3791.9091796875;2409.799072265625;21146.1875;35265.97265625;79156.875
175;1947.6170654296875;0.0;1841.9827880859375;12416.8515625;3629.58837890625;2373.566162109375;20353.14453125;34854.18359375;77416.90625
176;1857.3380126953125;0.0;1941.2509765625;12154.24609375;3618.699462890625;2346.683837890625;20638.150390625;34737.34765625;77293.625
177;1875.6376953125;0.0;1869.184814453125;12179.3564453125;3440.860107421875;2354.752685546875;20788.6953125;34567.26171875;77075.578125
178;1824.14794921875;0.0;2030.1617431640625;11957.3359375;3461.23046875;2332.682861328125;20848.990234375;34721.70703125;77176.0390625
179;1781.423828125;0.0;2100.81005859375;11943.9833984375;3781.43701171875;2112.231689453125;21655.05078125;35323.9375;78698.890625
180;2102.258056640625;0.0;1960.2227783203125;12661.513671875;3660.281494140625;2352.0927734375;20436.267578125;34955.81640625;78128.5546875
181;2050.5947265625;0.0;2023.6053466796875;12303.705078125;3654.987548828125;2362.91162109375;21272.443359375;35229.30859375;78897.5625
182;1954.0511474609375;0.0;2108.975830078125;11577.751953125;3398.401123046875;2279.34423828125;21505.97265625;35051.21875;77875.4765625
183;1766.8187255859375;0.0;1850.22607421875;11902.685546875;3477.598876953125;2454.125244140625;20609.0546875;35255.45703125;77315.6328125
184;1819.5263671875;0.0;1899.1552734375;12084.71484375;3332.903564453125;2343.696533203125;20674.052734375;35167.83984375;77321.578125
185;1899.041015625;0.2353329360485077;1804.037109375;11805.7646484375;3384.18212890625;2418.085693359375;20615.50390625;34647.3125;76574.1484375
186;1737.6707763671875;0.0;1777.0174560546875;11830.533203125;3306.73486328125;2302.75146484375;20780.29296875;34344.9453125;76079.609375
187;1629.8719482421875;0.0;1842.713134765625;11361.275390625;3481.988525390625;2396.416748046875;20973.421875;34419.15625;76104.5859375
188;1454.527099609375;0.0;1788.9720458984375;11841.716796875;3349.470458984375;2382.9130859375;20978.748046875;35036.86328125;76833.15625
189;1648.115966796875;0.0;1702.5692138671875;11681.333984375;3408.115478515625;2296.41943359375;21425.55078125;34987.5078125;77149.484375
190;1646.611083984375;0.0;1709.257568359375;12161.326171875;3423.42578125;2407.69873046875;20665.07421875;34960.47265625;76973.765625
191;1733.212646484375;0.0;1858.946044921875;11966.5546875;3368.92138671875;2242.957763671875;21697.6953125;34555.71875;77423.703125
192;1401.3243408203125;0.0;1787.7962646484375;12342.955078125;3400.794921875;2262.084228515625;20368.4375;34809.6484375;76372.8671875
193;1534.318115234375;0.0;1722.590576171875;11536.80078125;3261.53125;2288.351806640625;20632.94921875;34928.3046875;75904.78125
194;1565.1444091796875;0.2353329360485077;1898.389404296875;11740.77734375;3437.439208984375;2301.566650390625;20631.203125;33780.12109375;75354.4375
195;1752.775146484375;0.0;1749.92138671875;12038.505859375;3295.338623046875;2258.626220703125;21577.076171875;34726.7109375;77398.8671875
196;1630.3197021484375;0.0;1651.21337890625;11729.9677734375;3618.287841796875;2144.610595703125;20293.546875;34085.39453125;75153.140625
