STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
141;1653.4825439453125;0.2353329360485077;2034.640869140625;15019.146484375;4205.107421875;2836.1875;22778.908203125;26833.3203125;75360.9609375
142;1821.1763916015625;0.0;1972.89208984375;14858.1943359375;4044.4892578125;2681.609130859375;23228.716796875;26918.560546875;75525.3203125
143;1775.9903564453125;0.0;1849.6470947265625;14180.58984375;4063.59130859375;2632.566650390625;23336.322265625;26743.26171875;74581.7421875
144;1938.93994140625;0.0;2061.284423828125;14812.4375;4260.4404296875;2992.041748046875;23243.78125;26632.875;75941.9375
145;1805.3826904296875;0.0;1860.2841796875;14115.4921875;4081.105224609375;2838.05029296875;23019.548828125;26887.255859375;74607.046875
146;1698.0504150390625;0.0;1746.44287109375;15064.2421875;4285.28857421875;2688.74951171875;22773.080078125;27272.966796875;75528.734375
147;1837.8211669921875;0.2353329360485077;2081.681640625;14239.1572265625;4007.993896484375;2605.34619140625;22615.01953125;26968.619140625;74355.5859375
148;1779.1044921875;0.0;1928.2705078125;14500.0830078125;3867.6494140625;2662.119140625;22325.05078125;27045.595703125;74107.7109375
149;1697.5054931640625;0.0;1864.9063720703125;14853.5859375;3810.0126953125;2753.65087890625;22950.609375;26789.482421875;74719.546875
150;1835.3992919921875;0.0;2034.837158203125;14514.951171875;3939.30029296875;2967.850830078125;22290.482421875;26519.97265625;74102.4609375
151;1768.947021484375;0.0;2155.125;14322.9228515625;3980.567138671875;2837.677734375;21884.693359375;26595.76953125;73545.4453125
152;1772.7921142578125;1.1766647100448608;2110.512451171875;14554.755859375;3698.73974609375;2948.77294921875;22475.470703125;26483.44140625;74045.4609375
153;1640.291748046875;0.0;1807.5887451171875;14375.6083984375;4069.89599609375;2887.049072265625;22347.810546875;26488.19140625;73616.265625
154;1662.477783203125;0.0;1913.6884765625;14412.748046875;3945.30419921875;2883.26708984375;22553.6875;26667.76171875;74038.6328125
155;1582.3104248046875;0.0;1876.1458740234375;14844.59375;3784.796142578125;2971.705322265625;21866.087890625;26813.22265625;73738.46875
156;1870.937744140625;0.4706658720970154;1900.1890869140625;15286.7919921875;4784.55322265625;3028.554443359375;22373.7265625;26859.603515625;76104.875
157;1991.262939453125;0.0;2200.42236328125;14811.205078125;3945.7666015625;2945.450927734375;23224.78515625;26784.431640625;75903.2578125
158;1778.3594970703125;0.0;2078.09033203125;14366.48828125;3848.446533203125;2850.1962890625;23747.8984375;26451.025390625;75120.4375
159;2044.048828125;0.0;2019.5611572265625;14186.5234375;3785.71435546875;2879.139892578125;23157.96484375;26640.251953125;74712.8671875
160;1670.4093017578125;0.0;1973.3814697265625;14582.9423828125;4073.490966796875;3072.409912109375;22867.021484375;26870.263671875;75109.5859375
161;1811.65087890625;0.0;2025.10400390625;13897.1611328125;4243.73974609375;2905.508544921875;23041.443359375;27231.7265625;75156.109375
162;1886.9154052734375;0.0;1896.686279296875;14411.7978515625;3911.769775390625;2883.666748046875;22436.580078125;26823.384765625;74250.5234375
163;1910.277099609375;0.0;1970.303955078125;14532.44140625;4027.41748046875;2909.909912109375;22755.63671875;26893.408203125;74999.0703125
164;1673.189697265625;0.0;2113.812255859375;14529.349609375;4040.9453125;2903.65380859375;22797.458984375;27433.677734375;75491.8046875
165;1781.3759765625;0.0;2166.797119140625;14473.6513671875;3814.07080078125;2885.205322265625;22880.052734375;27115.724609375;75116.7109375
166;1827.0489501953125;0.0;1877.072998046875;14350.357421875;3920.59326171875;2934.540283203125;23402.11328125;27155.28125;75466.6484375
167;1738.588623046875;0.0;2029.94580078125;15033.716796875;4151.01171875;2876.162353515625;23125.685546875;27101.619140625;76056.4296875
168;1887.5213623046875;0.0;1959.3736572265625;14493.8818359375;3938.476806640625;2851.524169921875;23451.513671875;27668.736328125;76250.9375
169;1870.9290771484375;0.0;2449.724853515625;15245.9091796875;4178.09765625;2767.941650390625;23144.541015625;26431.404296875;76088.375
170;1564.0987548828125;0.0;1846.3489990234375;14634.8544921875;4209.49365234375;2875.11474609375;22643.236328125;26843.8203125;74616.8046875
171;1637.9913330078125;0.0;2227.6240234375;15251.5830078125;4534.6953125;2881.57275390625;23363.046875;26486.6484375;76382.984375
172;1868.1087646484375;0.0;2381.257080078125;15574.697265625;4775.55517578125;2769.578125;22936.57421875;26756.201171875;77061.8046875
173;1540.07861328125;0.0;2160.837158203125;15435.4814453125;4131.26025390625;2797.138427734375;22870.189453125;26462.001953125;75396.6640625
174;1745.5689697265625;0.0;1960.892822265625;15299.4833984375;3707.857421875;2891.9189453125;22124.59765625;26207.310546875;73937.34375
175;1678.1510009765625;0.0;1911.0107421875;14786.138671875;4057.351806640625;2948.98046875;22095.365234375;26746.25;74222.7734375
176;1577.556396484375;0.0;2080.963134765625;15153.1083984375;4093.79541015625;2924.726318359375;22566.908203125;26907.900390625;75304.765625
177;1792.15771484375;0.0;1996.713134765625;14360.75390625;4305.92919921875;2779.153564453125;23298.15234375;27360.3125;75893.203125
178;1668.1055908203125;0.0;2207.709228515625;15159.5107421875;4219.11767578125;2857.548095703125;22864.25390625;27233.142578125;76209.03125
179;1854.9449462890625;0.0;1947.4644775390625;15000.0703125;4022.716552734375;2788.2353515625;22143.060546875;27340.61328125;75096.8203125
180;1672.9046630859375;0.0;1936.1483154296875;14890.546875;4349.60693359375;2849.569091796875;22789.080078125;27149.169921875;75636.84375
181;1462.4388427734375;0.0;1991.84716796875;14822.248046875;4038.578369140625;2827.79541015625;22277.640625;26653.36328125;74073.8125
182;1581.644775390625;0.0;1816.40283203125;15585.6728515625;4133.87255859375;2744.531005859375;22486.83984375;26569.91796875;74918.546875
183;1599.3885498046875;0.0;2013.3603515625;15370.1640625;3815.71044921875;2834.187744140625;22934.294921875;27082.458984375;75649.2734375
184;1759.669189453125;0.0;2079.560302734375;14365.716796875;4428.3759765625;2858.22119140625;22190.17578125;26577.123046875;74258.6171875
185;1457.4556884765625;0.0;2206.0322265625;14574.625;3849.69775390625;2787.75439453125;22592.638671875;27199.517578125;74667.5703125
186;1390.7474365234375;0.0;2029.069580078125;14802.4931640625;3989.701904296875;2831.951904296875;22745.484375;26478.384765625;74267.71875
187;1824.154052734375;0.0;2311.496826171875;15588.927734375;4237.0986328125;2868.166259765625;23432.587890625;26667.8359375;76930.421875
188;1671.1094970703125;0.2353329360485077;1961.8905029296875;15074.798828125;4200.193359375;2846.80810546875;22513.26171875;26559.537109375;74827.5390625
189;1638.961669921875;0.0;2090.197509765625;14951.7763671875;4086.732666015625;2915.8623046875;22164.345703125;26503.6015625;74351.2265625
190;1619.2728271484375;0.0;1880.5859375;14807.451171875;3986.898681640625;2904.037109375;22825.26953125;26648.45703125;74671.5859375
191;1675.7218017578125;0.2353329360485077;1839.7471923828125;14359.755859375;3957.272216796875;2951.185546875;22659.689453125;26324.64453125;73767.84375
192;1523.065185546875;0.0;2031.59033203125;13664.482421875;3692.869873046875;2837.253662109375;22893.701171875;25844.20703125;72486.8984375
193;1676.4725341796875;0.0;2013.154541015625;15044.609375;4271.1455078125;2835.151123046875;23367.244140625;26220.998046875;75428.71875
194;1677.9984130859375;0.0;1944.87451171875;14559.8076171875;3925.78125;2974.158935546875;23245.451171875;26566.0078125;74893.8828125
195;1616.6280517578125;0.0;1937.2972412109375;14152.26171875;4257.0810546875;2771.071044921875;22738.73828125;26168.470703125;73641.265625
196;1697.6221923828125;0.0;1875.4256591796875;13867.0615234375;3898.7080078125;2942.09375;23805.587890625;26759.060546875;74845.5625
197;1992.1796875;0.0;1939.7890625;14431.4423828125;3944.042236328125;2945.016845703125;23265.193359375;26490.703125;75008.4765625
198;2020.4244384765625;0.0;2096.4931640625;14460.5048828125;3953.40478515625;2920.563720703125;23387.41796875;26072.658203125;74911.3359375
199;1902.3262939453125;0.0;1878.3372802734375;14368.2666015625;4119.5009765625;2931.9833984375;23230.958984375;26112.99609375;74543.984375
