STEP;C11;NP;OCB;OCC;OCE;OCN;ONC;ZOR;TOTAL
63;1759.1878662109375;0.0;1683.9853515625;21191.9140625;2339.4599609375;5064.86865234375;25941.0703125;20277.138671875;78257.375
64;1562.0992431640625;0.0;1764.5732421875;22148.001953125;2543.778564453125;5355.15966796875;25345.86328125;20603.7578125;79323.1328125
65;1515.2174072265625;0.0;1515.37548828125;21204.958984375;2451.833740234375;5049.8173828125;25823.611328125;20403.33203125;77964.0703125
66;1572.0784912109375;0.0;1712.0531005859375;20996.36328125;2414.9287109375;5447.70263671875;26221.927734375;20363.98828125;78728.859375
67;1679.52880859375;0.0;1860.8726806640625;19540.6796875;2216.52783203125;5193.29736328125;25829.599609375;20730.197265625;77050.5703125
68;1753.476318359375;0.0;1434.7467041015625;19989.5625;2502.91064453125;5227.060546875;26381.884765625;20594.70703125;77884.1484375
69;1833.53955078125;0.0;1520.770263671875;19884.17578125;2372.47216796875;5178.60400390625;26374.806640625;20559.943359375;77724.2734375
70;1582.7923583984375;0.0;1556.92138671875;20273.490234375;2499.64306640625;5459.4453125;26115.98046875;20724.751953125;78212.875
71;1540.4683837890625;0.0;1532.02392578125;20725.33984375;2618.85546875;5326.8564453125;26468.4921875;19897.978515625;78109.9375
72;1801.211181640625;0.0;1490.2218017578125;20728.7890625;2374.71337890625;5296.638671875;26530.826171875;19976.84765625;78199.1171875
73;1780.3370361328125;0.0;1387.95703125;20619.857421875;2391.620361328125;5495.94970703125;25767.884765625;19883.87890625;77327.25
74;1723.421630859375;0.0;1415.3594970703125;21184.755859375;2379.429443359375;5362.44482421875;25899.322265625;20199.935546875;78164.4765625
75;1532.2705078125;0.0;1557.2728271484375;20281.0;2241.2314453125;5529.76611328125;26051.6015625;20192.83984375;77385.796875
76;1697.9921875;0.0;1535.8751220703125;20880.068359375;2121.808837890625;5587.5810546875;26542.125;19951.556640625;78317.265625
77;1477.936279296875;0.2353329360485077;1390.5206298828125;20162.375;2226.694091796875;5566.83154296875;25897.513671875;19866.64453125;76588.703125
78;1482.032958984375;0.0;1461.9610595703125;21012.56640625;2500.91943359375;5423.45068359375;26490.53125;20005.681640625;78377.1875
79;1684.0933837890625;0.0;1596.2164306640625;20757.349609375;2341.212890625;5427.6923828125;26200.53515625;19385.6875;77392.6484375
80;1673.749755859375;0.0;1628.32421875;21718.318359375;2433.186279296875;5325.92138671875;26692.525390625;19732.90234375;79204.953125
81;1611.0787353515625;1.4119975566864014;1466.279541015625;21214.310546875;2292.9130859375;5281.82080078125;25781.150390625;19544.810546875;77194.0859375
82;1562.56201171875;0.0;1330.38720703125;19283.623046875;2569.148193359375;5319.43603515625;25575.884765625;19557.083984375;75198.171875
83;1494.7218017578125;0.0;1338.5694580078125;20340.19921875;2463.006591796875;4973.74169921875;25499.875;19173.583984375;75283.46875
84;1505.4482421875;0.0;1435.092041015625;20549.19140625;2553.300048828125;5375.3369140625;26037.36328125;19545.1640625;77000.53125
85;1410.284912109375;0.0;1334.8880615234375;21088.80078125;2503.345703125;5454.46875;26521.216796875;19139.064453125;77452.0
86;1374.364990234375;0.0;1355.138671875;20949.388671875;2641.048828125;5438.142578125;26347.875;19127.42578125;77233.0625
87;1640.73779296875;0.0;1438.8828125;19895.708984375;2568.4697265625;5221.203125;25440.328125;18696.302734375;74901.5
88;1535.424072265625;0.0;1437.8922119140625;20544.232421875;2355.838134765625;5678.048828125;25795.998046875;19262.759765625;76610.2890625
89;1641.149169921875;0.2353329360485077;1483.46240234375;20643.427734375;2459.084716796875;5350.03466796875;26669.7890625;19392.19140625;77639.4140625
90;1664.9302978515625;0.0;1590.5633544921875;21636.044921875;2523.317138671875;4962.8642578125;26862.3515625;19812.677734375;79052.8125
91;1492.841064453125;0.0;1537.3006591796875;21012.978515625;2265.7060546875;5104.8662109375;25880.9375;19206.482421875;76501.109375
92;1632.855712890625;0.0;1487.2703857421875;20461.0234375;2200.058837890625;5200.365234375;26705.921875;19507.310546875;77194.5234375
93;1349.4058837890625;0.0;1612.876220703125;20164.578125;2184.46826171875;5116.3623046875;26494.4453125;19485.12109375;76407.109375
94;1455.06689453125;0.0;1675.90380859375;20914.615234375;2177.265625;5325.50830078125;26539.828125;19656.310546875;77744.4296875
95;1466.0146484375;0.0;1510.2633056640625;20972.1484375;2216.79443359375;5412.32470703125;26165.1796875;18991.4375;76734.09375
96;1578.3944091796875;0.0;1528.6849365234375;20845.873046875;2068.23583984375;5527.92431640625;26825.4453125;18834.99609375;77209.5546875
97;1223.8455810546875;0.0;1276.9901123046875;20444.544921875;2133.1787109375;5651.5732421875;26935.009765625;19180.046875;76845.1796875
98;1290.071533203125;0.2353329360485077;1432.957275390625;20710.46484375;2338.34130859375;5668.0556640625;26810.771484375;18998.607421875;77249.34375
99;1283.65673828125;0.0;1273.22802734375;20466.697265625;2316.6328125;5542.35546875;26027.189453125;18953.513671875;75863.4296875
100;1224.916015625;0.0;1453.668212890625;20911.0390625;2136.164306640625;5021.47412109375;26120.755859375;19083.587890625;75951.3671875
101;1536.078125;0.0;1621.31201171875;21026.349609375;2235.735107421875;5602.380859375;26590.041015625;19164.21875;77776.203125
102;1224.0211181640625;0.9413317441940308;1397.8564453125;20505.69921875;2437.065185546875;5369.09716796875;26257.669921875;19391.333984375;76583.5390625
103;1338.77734375;0.0;1212.1900634765625;19779.587890625;2421.25146484375;5583.2734375;25822.892578125;19919.455078125;76077.2109375
104;1340.8853759765625;0.0;1352.256591796875;21466.982421875;2229.2099609375;5794.67919921875;26403.189453125;18888.298828125;77475.6796875
105;1518.1932373046875;0.0;1459.4317626953125;20926.38671875;2484.600341796875;5247.6630859375;25843.234375;18820.59375;76300.046875
106;1199.6241455078125;0.0;1463.377685546875;21540.279296875;2262.985107421875;5298.50341796875;26476.966796875;18648.818359375;76890.4765625
107;1237.9488525390625;0.0;1445.0450439453125;21319.732421875;2184.798095703125;5476.14208984375;26217.466796875;18853.537109375;76734.5546875
108;1292.91845703125;0.0;1376.6876220703125;22052.298828125;2258.349609375;5448.16259765625;25455.943359375;18920.650390625;76805.015625
109;1386.90185546875;0.0;1401.25341796875;20962.912109375;2471.96826171875;5504.2138671875;26040.2578125;19029.546875;76796.828125
110;1286.932861328125;0.4706658720970154;1296.112060546875;21199.33203125;2394.38427734375;5675.39794921875;26527.4609375;18945.017578125;77324.84375
111;1315.427734375;0.0;1296.443115234375;20883.208984375;2584.607177734375;5275.55224609375;25544.880859375;18495.52734375;75395.5546875
112;1373.55908203125;0.0;1453.7322998046875;20844.65625;2501.401611328125;5314.48974609375;25503.55078125;18774.443359375;75765.765625
113;1456.3839111328125;0.0;1470.9901123046875;20584.275390625;2292.444091796875;5266.2880859375;25741.74609375;19586.7734375;76398.5625
114;1368.927001953125;0.0;1537.0845947265625;21140.123046875;2282.69140625;5197.43701171875;26177.935546875;19381.138671875;77085.078125
115;1446.787841796875;0.0;1563.1292724609375;21572.779296875;2485.938720703125;5697.45751953125;26304.767578125;18937.4140625;78008.2890625
116;1486.927978515625;0.0;1539.776611328125;21648.458984375;2254.508056640625;5491.05029296875;25900.478515625;18752.529296875;77073.6328125
117;1506.9168701171875;0.0;1451.67919921875;21600.970703125;2189.782958984375;5150.63623046875;25642.412109375;18753.41015625;76295.6328125
118;1575.16357421875;0.0;1700.107421875;20746.419921875;2271.312744140625;5490.28564453125;26130.125;19258.791015625;77171.96875
119;1360.6856689453125;0.0;1535.3499755859375;21696.4140625;2241.570556640625;5150.650390625;26928.716796875;18756.16796875;77669.359375
120;1313.0633544921875;0.0;1519.3515625;21217.037109375;2045.0567626953125;5107.59619140625;25560.923828125;18651.73828125;75414.6015625
121;1197.357666015625;0.0;1476.2210693359375;20556.970703125;1937.6802978515625;5436.2275390625;25010.49609375;18818.990234375;74433.8515625
122;1238.1868896484375;0.0;1615.9173583984375;21211.8515625;2187.09716796875;5499.68603515625;26258.0078125;18333.3359375;76343.9921875
123;1465.65576171875;0.0;1691.6451416015625;21122.525390625;1948.6439208984375;5243.0283203125;26225.25390625;19006.37890625;76703.0234375
124;1414.97802734375;0.0;1606.8607177734375;21021.208984375;2060.3916015625;5160.578125;25894.6015625;19012.8828125;76171.15625
125;1442.4034423828125;0.0;1440.9356689453125;20874.904296875;2266.14697265625;5402.1689453125;25600.349609375;19241.26171875;76267.890625
126;1352.2398681640625;0.0;1552.466064453125;20648.962890625;2257.496337890625;5304.212890625;26251.529296875;19218.7265625;76585.3515625
127;1161.2213134765625;0.0;1454.6553955078125;20721.203125;2032.80908203125;5344.50244140625;25973.57421875;19402.365234375;76090.078125
128;1226.00439453125;0.0;1593.3507080078125;20977.345703125;2182.9541015625;5306.26171875;25490.314453125;18840.08984375;75616.1328125
129;1207.77294921875;0.0;1487.461181640625;21096.337890625;2188.070068359375;5464.890625;25202.279296875;18840.078125;75486.4375
130;1298.7762451171875;0.0;1622.2637939453125;20597.337890625;2188.20703125;5076.875;25979.53125;18653.708984375;75416.40625
131;1330.48388671875;0.0;1605.7606201171875;21326.404296875;2168.702880859375;5400.15283203125;24584.361328125;18162.517578125;74578.09375
132;1398.090576171875;0.0;1437.4127197265625;20719.775390625;2139.101318359375;5343.42724609375;26330.490234375;18448.076171875;75816.15625
133;1417.318603515625;0.0;1534.6845703125;20187.0078125;2163.419189453125;5225.22119140625;25229.904296875;18256.302734375;74013.6640625
134;1424.33154296875;0.0;1659.2283935546875;20588.2578125;2343.093017578125;5151.17041015625;25754.259765625;18280.919921875;75200.9765625
135;1505.765625;0.0;1744.0430908203125;19607.09375;2283.783203125;5007.1181640625;25432.681640625;18312.7109375;73893.015625
136;1282.29150390625;0.0;1859.6566162109375;20293.16796875;2403.289794921875;5337.595703125;25927.1953125;17986.21484375;75089.109375
137;1436.4788818359375;0.0;1701.937255859375;20034.1484375;2373.419677734375;5139.78759765625;25688.890625;17646.568359375;74021.1484375
138;1341.207763671875;0.0;1768.513671875;20804.576171875;2400.886962890625;5126.53564453125;26045.671875;18209.31640625;75696.6015625
139;1397.4095458984375;0.0;1687.052001953125;20190.958984375;2346.404052734375;5043.04052734375;26163.37109375;18591.90625;75420.015625
140;1253.3702392578125;0.0;1547.2987060546875;20190.5546875;2460.599609375;5320.10400390625;26066.55859375;18486.646484375;75324.8359375
141;1376.45263671875;0.0;1427.1488037109375;20700.62890625;2468.889404296875;5014.388671875;25737.6328125;18622.76171875;75347.7421875
142;1268.54345703125;0.0;1666.08935546875;20799.349609375;2425.609375;5322.05029296875;26041.69921875;18720.578125;76243.8984375
143;1286.97900390625;0.0;1529.1021728515625;20153.841796875;2358.9833984375;5241.521484375;26797.15625;18563.994140625;75931.703125
144;1279.867431640625;0.4706658720970154;1507.4012451171875;20949.54296875;2348.02197265625;5731.78662109375;26353.703125;18922.689453125;77093.7578125
145;1173.27001953125;0.2353329360485077;1468.964599609375;19751.783203125;2436.40380859375;5433.37841796875;26129.48828125;18854.509765625;75247.78125
146;1230.4736328125;0.0;1688.159912109375;19539.98046875;2438.6123046875;5618.126953125;25312.98828125;18611.53515625;74439.875
147;1412.5850830078125;0.0;1508.075927734375;19991.765625;2480.218994140625;5167.5009765625;25369.984375;18943.8984375;74874.0703125
148;1334.7442626953125;0.0;1424.9193115234375;20680.353515625;2279.3330078125;5348.4326171875;26342.560546875;18674.529296875;76084.578125
149;1397.616455078125;0.0;1378.6575927734375;19794.5625;2197.994140625;5336.82763671875;26044.130859375;18482.314453125;74631.828125
150;1334.6568603515625;0.0;1718.9168701171875;20133.5234375;2540.92724609375;5493.57958984375;26673.388671875;17468.638671875;75363.3203125
151;1402.9185791015625;0.0;1596.8685302734375;20523.15234375;2520.747802734375;4734.97998046875;25965.43359375;18062.40625;74806.421875
152;1546.1337890625;0.0;1715.1943359375;20880.720703125;2447.248291015625;4899.1171875;25555.91015625;17697.599609375;74741.6953125
153;1472.5772705078125;0.0;1462.7408447265625;19912.51953125;2550.67578125;5380.232421875;26824.1875;17525.5703125;75128.4921875
154;1459.2249755859375;0.0;1482.6517333984375;19115.658203125;2385.08056640625;4785.60107421875;26120.380859375;17982.572265625;73331.0859375
155;1455.6180419921875;0.0;1519.0634765625;20745.654296875;2406.636962890625;5356.37109375;26826.84375;17817.05859375;76126.8671875
156;1383.7926025390625;0.0;1482.06201171875;20711.72265625;2635.754638671875;5247.85107421875;26022.26171875;17799.91796875;75283.265625
157;1364.0230712890625;0.0;1574.14453125;20115.978515625;2461.0234375;5106.197265625;26262.265625;17571.27734375;74454.8125
158;1339.5445556640625;0.0;1636.25830078125;19821.02734375;2386.0498046875;5424.23095703125;26500.369140625;18035.908203125;75143.171875
159;1288.1358642578125;0.0;1524.10009765625;19506.224609375;2412.95458984375;5489.37060546875;26443.08203125;17856.814453125;74520.640625
160;1385.8778076171875;0.0;1496.986083984375;20730.60546875;2407.894287109375;5328.56298828125;26381.828125;17441.625;75173.375
161;1210.3599853515625;0.0;1440.98046875;19661.849609375;2462.495849609375;5131.3955078125;27339.091796875;17698.115234375;74944.03125
162;1264.7637939453125;0.0;1495.7955322265625;19782.9453125;2204.08251953125;5561.7431640625;26627.6171875;17329.447265625;74266.25
163;1400.851318359375;0.0;1674.269287109375;20654.8828125;2227.367431640625;5555.1611328125;27014.392578125;17216.794921875;75743.53125
164;1309.7779541015625;0.0;1390.8270263671875;20779.67578125;2432.820068359375;5323.58203125;26410.779296875;16375.236328125;74022.515625
165;1206.2633056640625;0.0;1480.4918212890625;20664.935546875;2315.17578125;5397.29931640625;26209.89453125;16875.9453125;74149.8984375
166;1241.190673828125;0.0;1512.54248046875;20510.400390625;2315.501953125;5114.51171875;26894.029296875;17255.09375;74843.1796875
167;953.3140869140625;0.0;1386.4376220703125;20706.798828125;2351.7646484375;5283.82666015625;26676.75390625;17322.234375;74680.828125
168;1072.0848388671875;0.7059987783432007;1283.5888671875;20441.0546875;2149.75390625;5449.29345703125;26469.556640625;17383.466796875;74249.25
169;939.6483764648438;0.0;1482.6251220703125;20561.556640625;2216.94580078125;5120.98974609375;27352.8046875;17193.142578125;74867.6953125
170;1253.0849609375;0.0;1517.185302734375;20597.935546875;2136.29443359375;5708.57568359375;26110.9453125;17164.8359375;74488.75
171;1155.807861328125;0.0;1214.066650390625;21050.921875;2083.845947265625;5256.0576171875;25915.412109375;17698.076171875;74373.9765625
172;1074.8114013671875;0.0;1210.789794921875;19919.541015625;2101.2041015625;5148.57763671875;26969.166015625;17716.08203125;74140.171875
173;1168.3624267578125;0.0;1265.004638671875;20969.623046875;2358.8505859375;5200.31103515625;26029.048828125;16451.8046875;73442.765625
174;969.7012329101563;0.0;1497.1331787109375;20197.427734375;2487.388916015625;5358.8115234375;27019.240234375;17109.005859375;74638.3671875
175;1040.2535400390625;0.0;1207.686767578125;20701.99609375;2277.677734375;5189.66015625;27388.0234375;16960.623046875;74765.9375
176;1143.8394775390625;0.0;1411.32861328125;21238.818359375;2106.31640625;5201.521484375;27244.791015625;17333.115234375;75679.5078125
177;1156.7857666015625;0.0;1343.433837890625;19921.474609375;2155.304443359375;5386.052734375;26687.23046875;17512.623046875;74162.7578125
178;1153.1375732421875;0.0;1334.5880126953125;19299.9765625;2257.369384765625;5450.392578125;26638.341796875;17450.884765625;73584.4765625
179;1154.7882080078125;0.0;1490.005859375;20200.8359375;2189.794921875;5019.24365234375;26632.48046875;17851.248046875;74538.0
180;1189.0833740234375;0.0;1437.1241455078125;20175.115234375;2165.436279296875;5380.93798828125;26064.576171875;17769.466796875;74181.3828125
181;1246.0362548828125;0.0;1339.138916015625;20111.314453125;2195.92919921875;5269.2451171875;27116.875;17847.9921875;75126.296875
182;1149.3026123046875;1.1766645908355713;1442.395263671875;19792.658203125;2257.114013671875;5123.595703125;25634.3046875;17556.65234375;72957.3515625
183;1024.8382568359375;0.0;1393.602783203125;20666.923828125;2485.690673828125;5327.31982421875;26383.689453125;17193.97265625;74475.75
184;1017.7518920898438;0.2353329360485077;1430.792724609375;20314.3984375;2242.93701171875;5507.763671875;26650.904296875;17187.47265625;74352.140625
185;1066.1240234375;0.7059987783432007;1406.099853515625;20348.333984375;2277.270751953125;5366.71435546875;26198.12109375;16954.875;73617.875
186;942.0332641601563;0.0;1319.598876953125;20282.33203125;2417.0244140625;5404.79443359375;25599.76953125;17004.373046875;72969.625
187;950.6758422851563;0.0;1342.0977783203125;20851.84375;2405.5888671875;4989.29150390625;25837.314453125;16981.23828125;73357.6484375
188;1106.7117919921875;0.0;1340.358154296875;21232.880859375;2523.261474609375;5334.16796875;26614.94921875;16746.990234375;74899.328125
189;1122.2308349609375;0.0;1306.266845703125;20492.6015625;2456.877685546875;5157.10205078125;26217.47265625;16922.650390625;73674.953125
190;1242.4029541015625;0.0;1175.2138671875;20381.40625;2240.3427734375;5028.27294921875;26568.248046875;17282.671875;73918.2734375
191;1175.9229736328125;0.0;1481.02783203125;20582.708984375;2329.74853515625;5408.408203125;27407.431640625;17088.548828125;75473.7890625
192;1009.0855712890625;0.0;1369.360595703125;21205.373046875;2170.933837890625;5144.6923828125;27477.87109375;17309.6171875;75686.9921875
193;1175.452880859375;0.7059987783432007;1389.566650390625;21946.888671875;2283.626953125;5534.42431640625;27634.458984375;16981.748046875;76946.7734375
194;1089.4547119140625;0.0;1399.505859375;21870.99609375;2214.999267578125;5484.400390625;26867.796875;17116.798828125;76043.8203125
195;1392.15185546875;0.0;1330.58251953125;20562.939453125;2368.37060546875;5425.572265625;26634.578125;16944.63671875;74658.6015625
196;1148.1201171875;0.0;1287.5855712890625;20465.73828125;2408.49560546875;5500.5732421875;26617.705078125;17104.470703125;74532.40625
197;1130.357666015625;0.0;1220.772705078125;20870.142578125;2398.7724609375;5418.50439453125;26660.0078125;17052.26171875;74750.5859375
198;1276.7542724609375;0.0;1332.880126953125;19975.5078125;2366.528564453125;5380.783203125;26880.376953125;17258.697265625;74471.6015625
199;1220.8316650390625;0.2353329360485077;1373.6595458984375;21003.109375;2257.877685546875;5068.6142578125;26300.08984375;16709.904296875;73934.1015625
