STEP;C11;NP;OCB;OCC;OCW;WBL;WYC;TOTAL
85;1523.8111572265625;0.0;1552.3363037109375;22546.060546875;10007.5615234375;5957.947265625;27266.46484375;68853.9375
86;1454.3531494140625;0.0;1689.0980224609375;22366.591796875;9696.4228515625;6043.6328125;27744.45703125;68994.15625
87;1422.1634521484375;0.0;1647.2008056640625;22517.29296875;9753.716796875;5766.517578125;27622.97265625;68729.484375
88;1571.1595458984375;0.0;1437.0751953125;22137.224609375;9599.1513671875;6004.24951171875;27655.828125;68404.3359375
89;1468.5203857421875;0.0;1475.989501953125;22133.921875;9894.2646484375;6105.16015625;27250.333984375;68327.859375
90;1386.1275634765625;0.0;1486.296875;21765.9609375;9595.1484375;5742.4482421875;27395.71875;67371.3203125
91;1443.65673828125;0.0;1713.314697265625;22463.380859375;9988.578125;5712.2099609375;27533.474609375;68854.328125
92;1594.86669921875;0.0;1655.5179443359375;21952.3515625;10000.5458984375;6331.5732421875;27800.72265625;69335.3046875
93;1710.212890625;0.2353329360485077;1578.65087890625;21952.103515625;9954.0810546875;6048.45068359375;27998.83984375;69242.296875
94;1677.691650390625;0.2353329360485077;1714.1717529296875;22455.859375;10438.2021484375;5931.59619140625;27397.521484375;69615.0703125
95;1657.8765869140625;0.0;1563.3685302734375;22435.8984375;10159.1474609375;5767.22900390625;27372.90234375;68956.0234375
96;1708.664306640625;0.0;1662.73681640625;23147.109375;10248.845703125;6536.3369140625;27626.03515625;70929.453125
97;1728.6641845703125;0.0;1832.628173828125;22710.607421875;10153.087890625;6474.57177734375;27683.955078125;70583.453125
98;1505.4345703125;0.0;1590.136474609375;21979.2421875;10246.07421875;5961.6083984375;27015.02734375;68297.28125
99;1394.5416259765625;0.0;1638.65576171875;21435.443359375;9969.0380859375;6050.91650390625;26467.7734375;66955.7421875
100;1416.62890625;0.0;1731.4495849609375;21330.466796875;9676.6572265625;6438.68603515625;27396.091796875;67989.421875
101;1469.436767578125;0.4706658720970154;1888.18017578125;22464.998046875;10037.9541015625;5622.29931640625;26894.158203125;68377.0625
102;1526.6475830078125;0.0;1538.3907470703125;21911.287109375;10136.35546875;6176.3232421875;27648.55078125;68937.2265625
103;1425.023681640625;0.0;1811.8853759765625;22049.3046875;10525.880859375;6305.025390625;26920.779296875;69037.65625
104;1408.9755859375;0.0;1691.0218505859375;22126.421875;10006.3125;6036.72802734375;26579.48046875;67848.4296875
105;1759.432861328125;0.0;1826.3929443359375;22437.626953125;9736.7578125;6094.1484375;26389.005859375;68242.9453125
106;1365.111572265625;0.0;1655.6453857421875;21586.1015625;9733.53515625;5715.90771484375;27041.013671875;67096.6875
107;1137.283935546875;0.0;1457.1185302734375;21163.005859375;9710.5986328125;5826.490234375;27053.98828125;66348.03125
108;1490.813720703125;0.0;1434.9713134765625;21097.533203125;10340.6669921875;6135.84814453125;26241.625;66741.1328125
109;1262.757568359375;0.0;1509.3575439453125;21615.740234375;9728.3486328125;6383.82666015625;27237.134765625;67736.703125
110;1185.9237060546875;0.0;1518.43994140625;22483.740234375;9544.01171875;5785.13134765625;26719.53125;67236.328125
111;1515.572509765625;0.0;1671.133056640625;21330.837890625;9834.201171875;5956.8798828125;27253.35546875;67561.5859375
112;1302.036376953125;0.0;1784.9652099609375;21955.625;10474.05078125;5758.4052734375;27512.765625;68787.3203125
113;1327.649169921875;0.0;1759.3216552734375;21609.025390625;10466.7841796875;6073.27392578125;26717.8515625;67953.6015625
114;1415.48388671875;0.0;1569.73291015625;21441.5625;10343.255859375;6341.18115234375;26582.220703125;67693.0234375
115;1412.1708984375;0.0;1502.1676025390625;21627.78515625;10069.5869140625;6101.09130859375;26832.541015625;67544.921875
116;1249.2393798828125;0.0;1464.82080078125;21809.89453125;10076.76953125;5597.7763671875;27193.923828125;67391.90625
117;1410.4609375;0.0;1507.1866455078125;21306.01953125;10015.9794921875;5720.7744140625;26441.822265625;66401.5859375
118;1426.7593994140625;0.0;1386.304931640625;21739.7734375;10306.0703125;5938.15869140625;26733.40234375;67530.046875
119;1325.0609130859375;0.0;1386.653564453125;21656.736328125;10207.841796875;6044.77392578125;26695.873046875;67316.453125
120;1478.411865234375;0.0;1726.369873046875;21101.072265625;9948.5908203125;5828.94140625;26511.6640625;66594.5078125
