STEP;C11;NP;OCB;OCC;OCW;WYC;TOTAL
131;981.3780517578125;0.0;607.1314086914063;7337.3447265625;1508.2652587890625;14208.45703125;24642.560546875
132;1154.7620849609375;0.0;597.7084350585938;7290.36328125;1411.7554931640625;14297.2060546875;24751.79296875
133;1301.063720703125;0.0;521.7051391601563;6932.720703125;1487.240478515625;14432.0185546875;24674.74609375
134;1319.1263427734375;0.0;829.0320434570313;6712.6708984375;1482.171142578125;14149.7236328125;24492.7265625
135;1460.9462890625;0.0;558.95068359375;6754.19482421875;1411.1932373046875;14176.033203125;24361.287109375
136;1323.79296875;0.0;679.3906860351563;7044.12451171875;1454.981201171875;14013.9150390625;24516.1953125
137;1467.8194580078125;0.0;578.8433837890625;6747.08935546875;1592.1436767578125;13924.650390625;24310.5546875
138;1480.9923095703125;0.0;540.8639526367188;6704.08837890625;1695.3155517578125;14013.650390625;24434.91796875
139;1454.634765625;0.0;620.8418579101563;6855.98876953125;1561.4921875;14390.865234375;24883.81640625
140;1179.0614013671875;0.0;643.1603393554688;6892.193359375;1453.2998046875;14061.828125;24229.513671875
141;1226.9630126953125;0.0;667.28369140625;6485.3388671875;1595.1544189453125;14162.7646484375;24137.541015625
142;1475.39892578125;0.0;663.78857421875;6856.85888671875;1715.4649658203125;14143.8701171875;24855.40234375
143;1467.4322509765625;0.0;589.8632202148438;6913.45361328125;1667.1600341796875;14185.986328125;24823.900390625
144;1458.5677490234375;0.0;643.137939453125;6953.208984375;1678.8397216796875;13899.205078125;24632.9375
145;1525.1728515625;0.0;733.6075439453125;6957.5654296875;1753.37451171875;14202.6611328125;25172.412109375
146;1331.9588623046875;0.0;586.0757446289063;6928.86181640625;1581.256103515625;14168.2890625;24596.404296875
147;1371.483154296875;0.0;662.5540161132813;6944.181640625;1489.3865966796875;14318.470703125;24786.1015625
148;1202.482666015625;0.0;607.5531616210938;6687.5615234375;1555.662353515625;14602.6875;24655.978515625
149;1076.3773193359375;0.2353329360485077;774.2037963867188;6960.876953125;1440.90625;14346.9931640625;24599.591796875
150;960.5382080078125;0.0;724.6873779296875;7122.478515625;1614.386962890625;14319.4951171875;24741.599609375
