STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
34;2714.250732421875;0.0;3272.451416015625;11484.8671875;2414.39501953125;3520.892578125;17091.107421875;31413.798828125;71911.6328125
35;3154.649169921875;0.0;3175.20166015625;11448.7314453125;2469.77490234375;3321.462646484375;17121.978515625;31573.52734375;72265.1953125
36;3097.245849609375;0.0;3539.00830078125;12091.7177734375;2665.82568359375;3445.553466796875;17533.57421875;31436.224609375;73808.875
37;3132.937744140625;0.0;3360.637451171875;12128.849609375;3019.117919921875;3076.052001953125;16839.001953125;31370.80078125;72927.0859375
38;3113.939697265625;0.0;3477.004150390625;12042.19921875;2440.79541015625;3231.403076171875;16236.390625;30970.529296875;71511.7265625
39;2740.718505859375;0.0;3168.090087890625;12369.763671875;2611.747802734375;3358.311279296875;16864.634765625;31227.4609375;72340.28125
40;2930.833984375;0.7059987783432007;3384.11474609375;12133.189453125;2506.588134765625;3375.997314453125;17410.5234375;31191.837890625;72933.4921875
41;2776.567626953125;0.0;3255.12353515625;12528.806640625;2412.496826171875;3308.43994140625;17938.41796875;31224.392578125;73443.9140625
42;3114.4033203125;0.0;3279.113037109375;11845.5107421875;2541.06787109375;3503.08642578125;17604.328125;30761.314453125;72648.7578125
43;3063.25830078125;0.0;3218.171875;11901.9990234375;2589.341552734375;3605.07470703125;18439.708984375;31159.806640625;73977.203125
44;2794.268798828125;0.0;3105.451904296875;12029.2490234375;2604.89990234375;3412.921875;17149.935546875;30950.931640625;72047.328125
45;3187.102294921875;0.0;3284.057373046875;12179.6845703125;2734.47705078125;3649.23095703125;17171.658203125;30796.7734375;73002.75
46;3032.76953125;0.0;3320.21240234375;12162.13671875;2559.52001953125;3477.45703125;17889.259765625;30743.400390625;73184.5703125
47;2995.76025390625;0.0;3639.8896484375;12451.419921875;2697.693359375;3575.088623046875;17634.18359375;31139.3359375;74133.078125
48;3111.09912109375;0.0;3330.075439453125;12150.6201171875;2666.58154296875;3706.54052734375;17839.525390625;31176.224609375;73980.3984375
49;2745.81982421875;0.0;3185.355712890625;11876.703125;2783.88134765625;3428.32470703125;17807.271484375;30750.7421875;72577.6484375
50;2705.705810546875;0.0;3427.63427734375;11653.88671875;2815.025634765625;3275.8095703125;17318.185546875;30922.697265625;72118.828125
